Parent Compound	Preferred Name	SMILES	Non-generic Scaffold SMILES	Non-generic Scaffold ID	Generic Scaffold SMILES	Generic Scaffold ID	MESH Indications
CHEMBL2105737	SONIDEGIB	Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1	O=C(Nc1ccc(N2CCOCC2)nc1)c1cccc(-c2ccccc2)c1	SCAFFA213	C1CCC(C2CCC(CCC3CCCC(C4CCCCC4)C3)CC2)CC1	SCAFFB150	Neoplasms
CHEMBL456	ETHACRYNIC ACID	C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Pulmonary Edema
CHEMBL940	GABAPENTIN	NCC1(CC(=O)O)CCCCC1	C1CCCCC1	SCAFFA141	C1CCCCC1	SCAFFB3	Neuralgia, Postherpetic
CHEMBL1201335	GLYCOPYRRONIUM	C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1	O=C(OC1CC[NH2+]C1)C(c1ccccc1)C1CCCC1	SCAFFA214	C1CCC(C(CCC2CCCC2)C2CCCC2)CC1	SCAFFB151	Peptic Ulcer
CHEMBL970	HALAZEPAM	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F	O=C1CN=C(c2ccccc2)c2ccccc2N1	SCAFFA93	C1CCC(C2CCCCC3CCCCC32)CC1	SCAFFB35	Anxiety
CHEMBL2216870	IDELALISIB	CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1	O=c1c2ccccc2nc(CNc2ncnc3[nH]cnc23)n1-c1ccccc1	SCAFFA215	C1CCC(C2CC3CCCCC3CC2CCC2CCCC3CCCC32)CC1	SCAFFB152	Lymphoma, Non-Hodgkin
CHEMBL1200826	LITHIUM CARBONATE	O=C([O-])[O-].[Li+].[Li+]		SCAFFA31		SCAFFB28	Bipolar Disorder
CHEMBL354541	LOMITAPIDE	O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1	O=C(NC1CCN(CCCCC2c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccccc1	SCAFFA216	C1CCC(C2CCCCC2CCC2CCC(CCCCC3C4CCCCC4C4CCCCC34)CC2)CC1	SCAFFB153	Hyperlipoproteinemia Type II
CHEMBL19	METHAZOLAMIDE	CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C	N=c1[nH]ncs1	SCAFFA217	C1CCCC1	SCAFFB2	Glaucoma, Open-Angle
CHEMBL697	METHSUXIMIDE	CN1C(=O)CC(C)(c2ccccc2)C1=O	O=C1CC(c2ccccc2)C(=O)N1	SCAFFA218	C1CCC(C2CCCC2)CC1	SCAFFB39	Seizures
CHEMBL1580	PENTOSTATIN	OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O	C1=Nc2c(ncn2[C@H]2CCCO2)CCN1	SCAFFA219	C1CCC2CCC(C3CCCC3)C2CC1	SCAFFB154	Anemia
CHEMBL918	PHENACEMIDE	NC(=O)NC(=O)Cc1ccccc1	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Epilepsy
CHEMBL797	PHENSUXIMIDE	CN1C(=O)CC(c2ccccc2)C1=O	O=C1CC(c2ccccc2)C(=O)N1	SCAFFA218	C1CCC(C2CCCC2)CC1	SCAFFB39	Epilepsy
CHEMBL550	PILOCARPINE	CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C	O=C1C[C@@H](Cc2cnc[nH]2)CO1	SCAFFA220	C1CCC(CC2CCCC2)C1	SCAFFB155	Glaucoma, Angle-Closure
CHEMBL1201746	PRALATREXATE	C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	c1ccc(CCc2cnc3ncncc3n2)cc1	SCAFFA221	C1CCC(CCC2CCC3CCCCC3C2)CC1	SCAFFB74	Lymphoma, T-Cell
CHEMBL969	PRAZEPAM	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1	O=C1CN=C(c2ccccc2)c2ccccc2N1CC1CC1	SCAFFA222	C1CCC(C2CCCC(CC3CC3)C3CCCCC23)CC1	SCAFFB156	Anxiety
CHEMBL2367706	SUCRALFATE	O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O	C1CC[C@H](OC2CCCO2)OC1	SCAFFA223	C1CCC(CC2CCCC2)CC1	SCAFFB10	Duodenal Ulcer
CHEMBL832	SULFINPYRAZONE	O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1	O=C1C(CC[SH+]c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1	SCAFFA224	C1CCC(CCCC2CC(C3CCCCC3)C(C3CCCCC3)C2)CC1	SCAFFB157	Gout
CHEMBL1504	TRIAMCINOLONE ACETONIDE	CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1	O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2C3OCO[C@@H]3C[C@H]21	SCAFFA225	C1CCC2C(C1)CCC1C2CCC2C3CCCC3CC21	SCAFFB20	Multiple Sclerosis
CHEMBL603	ZAFIRLUKAST	COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12	O=C(Nc1ccc2[nH]cc(Cc3ccc(C(=O)NS(=O)(=O)c4ccccc4)cc3)c2c1)OC1CCCC1	SCAFFA226	C1CCC(CCCC2CCC(CC3CCC4CCC(CCCC5CCCC5)CC43)CC2)CC1	SCAFFB158	Asthma
CHEMBL1046	AMINOCAPROIC ACID	NCCCCCC(=O)O		SCAFFA31		SCAFFB28	Hemorrhage
CHEMBL408513	BELINOSTAT	O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO	O=S(=O)(Nc1ccccc1)c1ccccc1	SCAFFA227	C1CCC(CCC2CCCCC2)CC1	SCAFFB14	Lymphoma, T-Cell
CHEMBL1199080	BRETYLIUM	CC[N+](C)(C)Cc1ccccc1Br	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Arrhythmias, Cardiac
CHEMBL415606	DEGARELIX	CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(N)=O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	O=C(CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)NC(=O)CNC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)CCc1ccc2ccccc2c1)NCC(=O)N1CCCC1	SCAFFA228	C(CCCC1CCCC1)CCCC(CCC(CCCCCC(CCC(CCCCC1CCC2CCCCC2C1)CC1CCCCC1)CC1CCCCC1)CC1CCC(CCC2CCCCC2)CC1)CC1CCCCC1	SCAFFB159	Prostatic Neoplasms
CHEMBL1614	DESLANOSIDE	C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1	O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CC[C@H](O[C@H]6CC[C@H](O[C@H]7CC[C@H](O[C@H]8CCCCO8)CO7)CO6)CO5)C[C@H]4CC[C@@H]32)CO1	SCAFFA229	C1CCC(CC2CCC(CC3CCC(CC4CCC(CC5CCC6C(CCC7C6CCC6C(C8CCCC8)CCC67)C5)CC4)CC3)CC2)CC1	SCAFFB160	Cardiovascular Diseases
CHEMBL1108	DROPERIDOL	O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1	O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccccc1	SCAFFA230	C1CCC(CCCCC2CCC(C3CCC4CCCCC43)CC2)CC1	SCAFFB161	Postoperative Nausea and Vomiting
CHEMBL1752	DYPHYLLINE	Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O	O=c1[nH]c(=O)c2[nH]cnc2[nH]1	SCAFFA135	C1CCC2CCCC2C1	SCAFFB5	Lung Diseases, Obstructive
CHEMBL914	FEXOFENADINE	CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1	SCAFFA231	C1CCC(CCCCC2CCC(C(C3CCCCC3)C3CCCCC3)CC2)CC1	SCAFFB162	Hypersensitivity
CHEMBL389621	HYDROCORTISONE	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO	O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1	SCAFFA77	C1CCC2C(C1)CCC1C3CCCC3CCC21	SCAFFB37	Osteoarthritis
CHEMBL237500	LINAGLIPTIN	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1	SCAFFA232	C1CCC(C2CC3CCC(CC4CCC5CCCCC5C4)CC3C2)CC1	SCAFFB163	Diabetes Mellitus, Type 2
CHEMBL686	MEFENAMIC ACID	Cc1cccc(Nc2ccccc2C(=O)O)c1C	c1ccc(Nc2ccccc2)cc1	SCAFFA49	C1CCC(CC2CCCCC2)CC1	SCAFFB21	Dysmenorrhea
CHEMBL979	MEPROBAMATE	CCCC(C)(COC(N)=O)COC(N)=O		SCAFFA31		SCAFFB28	Anxiety Disorders
CHEMBL650	METHYLPREDNISOLONE	C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12	O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21	SCAFFA115	C1CCC2C(C1)CCC1C3CCCC3CCC21	SCAFFB37	Multiple Sclerosis
CHEMBL1726	NISOLDIPINE	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]	C1=CC(c2ccccc2)C=CN1	SCAFFA9	C1CCC(C2CCCCC2)CC1	SCAFFB8	Hypertension
CHEMBL1423	PIMOZIDE	O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccccc2)c2ccccc2)CC1	SCAFFA233	C1CCC(C(CCCC2CCC(C3CCC4CCCCC43)CC2)C2CCCCC2)CC1	SCAFFB164	Tics
CHEMBL897	PROBENECID	CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Gout
CHEMBL728	PROCHLORPERAZINE	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1	SCAFFA177	C1CCC(CCCC2C3CCCCC3CC3CCCCC32)CC1	SCAFFB126	Schizophrenia
CHEMBL772	RESERPINE	COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC	O=C(O[C@H]1CC[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C1)c1ccccc1	SCAFFA157	C1CCC(CCC2CCC3CC4C(CCC5C6CCCCC6CC45)CC3C2)CC1	SCAFFB115	Hypertension
CHEMBL967	TEMAZEPAM	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21	O=C1CN=C(c2ccccc2)c2ccccc2N1	SCAFFA93	C1CCC(C2CCCCC3CCCCC32)CC1	SCAFFB35	Sleep Initiation and Maintenance Disorders
CHEMBL585	TRIAMTERENE	Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1	c1ccc(-c2cnc3ncncc3n2)cc1	SCAFFA234	C1CCC(C2CCC3CCCCC3C2)CC1	SCAFFB121	Edema
CHEMBL451	CHLORDIAZEPOXIDE	CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1	C1=Nc2ccccc2C(c2ccccc2)=[NH+]C1	SCAFFA235	C1CCC(C2CCCCC3CCCCC32)CC1	SCAFFB35	Alcoholism
CHEMBL452	CLONAZEPAM	O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1	O=C1CN=C(c2ccccc2)c2ccccc2N1	SCAFFA93	C1CCC(C2CCCCC3CCCCC32)CC1	SCAFFB35	Seizures
CHEMBL1480	FELODIPINE	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl	C1=CC(c2ccccc2)C=CN1	SCAFFA9	C1CCC(C2CCCCC2)CC1	SCAFFB8	Diabetes Mellitus
CHEMBL814	FLUVOXAMINE	COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Depressive Disorder
CHEMBL1648	ISRADIPINE	COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12	C1=CC(c2cccc3nonc23)C=CN1	SCAFFA236	C1CCC(C2CCCC3CCCC32)CC1	SCAFFB165	Hypertension
CHEMBL1289601	LENVATINIB	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O	O=C(Nc1ccc(Oc2ccnc3ccccc23)cc1)NC1CC1	SCAFFA237	C(CC1CC1)CC1CCC(CC2CCCC3CCCCC32)CC1	SCAFFB166	Carcinoma, Renal Cell
CHEMBL1201170	LITHIUM CITRATE	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+]		SCAFFA31		SCAFFB28	Bipolar Disorder
CHEMBL1231	OXYBUTYNIN	CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1	c1ccc(CC2CCCCC2)cc1	SCAFFA47	C1CCC(CC2CCCCC2)CC1	SCAFFB21	Urinary Incontinence, Urge
CHEMBL856	PRIMIDONE	CCC1(c2ccccc2)C(=O)NCNC1=O	O=C1NCNC(=O)C1c1ccccc1	SCAFFA238	C1CCC(C2CCCCC2)CC1	SCAFFB8	Seizures
CHEMBL452231	TENIPOSIDE	COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O	O=C1OC[C@H]2[C@H]1[C@H](c1ccccc1)c1cc3c(cc1[C@H]2O[C@H]1CC[C@@H]2O[C@H](c4cccs4)OC[C@H]2O1)OCO3	SCAFFA239	C1CCC(C2C3CCCC3C(CC3CCC4CC(C5CCCC5)CCC4C3)C3CC4CCCC4CC32)CC1	SCAFFB167	Neoplasms
CHEMBL1148	TORSEMIDE	Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1	c1ccc(Nc2ccncc2)cc1	SCAFFA240	C1CCC(CC2CCCCC2)CC1	SCAFFB21	Stroke
CHEMBL408	TROGLITAZONE	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	O=C1NC(=O)C(Cc2ccc(OCC3CCc4ccccc4O3)cc2)S1	SCAFFA241	C1CCC(CC2CCC(CCC3CCC4CCCCC4C3)CC2)C1	SCAFFB168	Diabetes Mellitus
CHEMBL3545057	ACETYLDIGITOXIN	CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O	O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CC[C@H](O[C@H]6CC[C@H](O[C@H]7CCCCO7)CO6)CO5)C[C@H]4CC[C@@H]32)CO1	SCAFFA191	C1CCC(CC2CCC(CC3CCC(CC4CCC5C(CCC6C5CCC5C(C7CCCC7)CCC56)C4)CC3)CC2)CC1	SCAFFB134	Cardiovascular Diseases
CHEMBL270190	ALVIMOPAN	C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1	c1ccc(CCCN2CCC(c3ccccc3)CC2)cc1	SCAFFA242	C1CCC(CCCC2CCC(C3CCCCC3)CC2)CC1	SCAFFB169	Constipation
CHEMBL488	AMINOGLUTETHIMIDE	CCC1(c2ccc(N)cc2)CCC(=O)NC1=O	O=C1CCC(c2ccccc2)C(=O)N1	SCAFFA243	C1CCC(C2CCCCC2)CC1	SCAFFB8	Neoplasms
CHEMBL908	CHLORPROTHIXENE	CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21	C=C1c2ccccc2Sc2ccccc21	SCAFFA244	C1CCC2CC3CCCCC3CC2C1	SCAFFB33	Psychotic Disorders
CHEMBL42	CLOZAPINE	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2	SCAFFA245	C1CCC(C2CC3CCCCC3CC3CCCCC32)CC1	SCAFFB86	Schizophrenia
CHEMBL1479	DANAZOL	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C	C1=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2Cc2cnoc21	SCAFFA246	C1CC2CC3CCC4C5CCCC5CCC4C3CC2C1	SCAFFB170	Endometriosis
CHEMBL559	DEXTROTHYROXINE	N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O	c1ccc(Oc2ccccc2)cc1	SCAFFA22	C1CCC(CC2CCCCC2)CC1	SCAFFB21	Cardiovascular Diseases
CHEMBL898	DIFLUNISAL	O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O	c1ccc(-c2ccccc2)cc1	SCAFFA67	C1CCC(C2CCCCC2)CC1	SCAFFB8	Osteoarthritis
CHEMBL989	FLUOCINOLONE ACETONIDE	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1	O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2C3OCO[C@@H]3C[C@H]21	SCAFFA225	C1CCC2C(C1)CCC1C2CCC2C3CCCC3CC21	SCAFFB20	Macular Edema
CHEMBL831	LOXAPINE	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1	c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1O2	SCAFFA150	C1CCC(C2CC3CCCCC3CC3CCCCC32)CC1	SCAFFB86	Schizophrenia
CHEMBL1200862	METYROSINE	C[C@](N)(Cc1ccc(O)cc1)C(=O)O	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Pheochromocytoma
CHEMBL2218896	NABILONE	CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21	O=C1CCC2COc3ccccc3C2C1	SCAFFA247	C1CCC2C(C1)CCC1CCCCC12	SCAFFB135	Postoperative Nausea and Vomiting
CHEMBL1071	OXAPROZIN	O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1	c1ccc(-c2ncoc2-c2ccccc2)cc1	SCAFFA248	C1CCC(C2CCCC2C2CCCCC2)CC1	SCAFFB30	Osteoarthritis
CHEMBL608	PROBUCOL	CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	c1ccc(SCSc2ccccc2)cc1	SCAFFA249	C1CCC(CCCC2CCCCC2)CC1	SCAFFB171	Cardiovascular Diseases
CHEMBL1532	QUINETHAZONE	CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1	O=C1NCNc2ccccc21	SCAFFA250	C1CCC2CCCCC2C1	SCAFFB32	Cardiovascular Diseases
CHEMBL113	CAFFEINE	Cn1c(=O)c2c(ncn2C)n(C)c1=O	O=c1[nH]c(=O)c2[nH]cnc2[nH]1	SCAFFA135	C1CCC2CCCC2C1	SCAFFB5	Migraine Disorders
CHEMBL1685	DEZOCINE	C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N	c1ccc2c(c1)C[C@@H]1CCCCCC2C1	SCAFFA251	C1CCC2CC(CC1)C1CCCCC1C2	SCAFFB172	Pain
CHEMBL1751	DIGOXIN	C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O	O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CC[C@H](O[C@H]6CC[C@H](O[C@H]7CCCCO7)CO6)CO5)C[C@H]4CC[C@@H]32)CO1	SCAFFA191	C1CCC(CC2CCC(CC3CCC(CC4CCC5C(CCC6C5CCC5C(C7CCCC7)CCC56)C4)CC3)CC2)CC1	SCAFFB134	Heart Failure
CHEMBL1269025	EDOXABAN	CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1	O=C(Nc1ccccn1)C(=O)N[C@H]1CCCC[C@H]1NC(=O)c1nc2c(s1)CNCC2	SCAFFA252	C1CCC(CCCCC2CCCCC2CCC2CC3CCCCC3C2)CC1	SCAFFB173	Thrombosis
CHEMBL1095	ETHOTOIN	CCN1C(=O)NC(c2ccccc2)C1=O	O=C1NC(=O)C(c2ccccc2)N1	SCAFFA198	C1CCC(C2CCCC2)CC1	SCAFFB39	Seizures
CHEMBL14376	ILOPERIDONE	COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1	c1ccc(OCCCN2CCC(c3noc4ccccc34)CC2)cc1	SCAFFA253	C1CCC(CCCCC2CCC(C3CCC4CCCCC43)CC2)CC1	SCAFFB161	Schizophrenia
CHEMBL1201168	ISOCARBOXAZID	Cc1cc(C(=O)NNCc2ccccc2)no1	O=C(NNCc1ccccc1)c1ccon1	SCAFFA254	C1CCC(CCCCC2CCCC2)CC1	SCAFFB174	Depressive Disorder, Major
CHEMBL1428	NIMODIPINE	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1	C1=CC(c2ccccc2)C=CN1	SCAFFA9	C1CCC(C2CCCCC2)CC1	SCAFFB8	Cardiovascular Diseases
CHEMBL1100	PARAMETHADIONE	CCC1(C)OC(=O)N(C)C1=O	O=C1COC(=O)N1	SCAFFA255	C1CCCC1	SCAFFB2	Epilepsy
CHEMBL1521	ZALEPLON	CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1	c1ccc(-c2ccnc3ccnn23)cc1	SCAFFA256	C1CCC(C2CCCC3CCCC32)CC1	SCAFFB165	Sleep Initiation and Maintenance Disorders
CHEMBL932	DIPYRIDAMOLE	OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1	c1nc(N2CCCCC2)c2ncnc(N3CCCCC3)c2n1	SCAFFA257	C1CCC(C2CCCC3C(C4CCCCC4)CCCC23)CC1	SCAFFB175	Coronary Artery Disease
CHEMBL2103749	BIVALIRUDIN	CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O	O=C(CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)CNC(=O)CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H]1CCCN1C(=O)CCc1ccccc1)NCCc1ccccc1	SCAFFA258	C(CCCCCCCCCCCC(CCCCCCCCCCC1CCCC1CCCCCCCCCCC1CCCCC1)CC1CCCCC1)CCCCCCCCCCCC1CCCC1CCCCC1CCCC1CCCC1CCCCC1	SCAFFB176	Syndrome
CHEMBL1174	EPTIFIBATIDE	N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O	O=C1CCSSCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)CNC(=O)CN1	SCAFFA259	C1CCCCCCCCCC(CC2CCC3CCCCC32)CC2CCCC2CCCCCCCCC1	SCAFFB177	Acute Coronary Syndrome
CHEMBL799	CILOSTAZOL	O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1	O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1	SCAFFA260	C1CCC(C2CCCC2CCCCCC2CCC3CCCCC3C2)CC1	SCAFFB178	Thrombosis
